"sigOBS","sigPRO","muEI1","muI1S1","muI1I2","muI2S2","muS2S1","rho","bT","q","c","delta","S1_0","S2_0","E_0","I1_0","I2_0","K_0","F_0"
0.1035,0.1187,50.9513,15.6349,14.1402,1.6697,0.3388,0.7181,5.6459,0.4085,0.4295,0.02,0.77,0.0866,0.0103,0.0599,0.0732,0.5446,0.6732
0.1769,0.4331,38.9988,9.4423,5.6789,2.4103,0.1587,0.6446,7.5665,0.9939,0.1634,0.02,0.9289,0.002,0.0391,0.0098,0.0203,0.6837,0.2032
0.0749,0.2822,36.9145,8.128,15.9373,1.6326,0.5886,0.5911,2.816,0.8613,0.2555,0.02,0.7862,0.0735,0.0291,0.0367,0.0745,0.1961,0.3138
0.1551,0.1507,43.844,2.844,11.9161,2.1179,0.2515,0.0556,3.0978,0.0934,0.3435,0.02,0.8958,0.0053,0.0582,0.0123,0.0284,0.1886,0.1524
0.0678,0.1741,31.0155,11.5996,10.0943,2.8263,0.2787,0.9315,8.3349,0.3434,0.6758,0.02,0.8121,0.0115,0.0669,0.0725,0.0369,0.5312,0.7526
0.224,0.2675,17.4562,14.1309,8.8633,0.9027,0.8145,0.5868,2.4153,0.5355,0.8959,0.02,0.863,0.0472,0.0077,0.0395,0.0427,0.5483,0.9412
0.4089,0.3714,47.34,12.7284,15.6156,0.7472,0.3013,0.3878,5.6145,0.8896,0.6723,0.02,0.7506,0.0877,0.0786,0.0482,0.0349,0.8821,0.1698
0.1051,0.2949,59.3294,8.6974,13.2918,2.154,0.8923,0.6583,4.8671,0.7938,0.0101,0.02,0.7875,0.0533,0.0897,0.0373,0.0321,0.5627,0.9874
0.1225,0.1803,15.734,12.7027,13.4327,1.4191,0.6676,0.9438,8.9209,0.519,0.9841,0.02,0.7996,0.0241,0.024,0.069,0.0834,0.3245,0.9057
0.2732,0.2971,26.0796,13.8067,14.7843,2.2672,0.9036,0.9453,5.1045,0.6051,0.5961,0.02,0.8289,0.0414,0.0589,0.0134,0.0574,0.6768,0.1417
0.377,0.1814,35.2668,15.1294,17.2637,0.9939,0.4922,0.7509,7.8575,0.1225,0.4684,0.02,0.761,0.0338,0.0823,0.0678,0.0552,0.3883,0.2228
0.4175,0.1865,48.7846,5.7096,8.038,1.8989,0.9086,0.029,3.1814,0.6827,0.1293,0.02,0.8343,0.0364,0.0429,0.0424,0.044,0.3802,0.243
0.0241,0.3,45.115,6.9668,5.9839,0.9714,0.3255,0.1896,9.7245,0.1303,0.5282,0.02,0.817,0.0241,0.0462,0.0556,0.0571,0.2953,0.0861
0.3106,0.0982,39.1057,8.9937,4.6222,2.6263,0.9078,0.9172,1.1827,0.0218,0.8236,0.02,0.8704,0.0076,0.0447,0.035,0.0424,0.7916,0.6307
0.1587,0.1866,37.7817,14.6954,8.0817,2.0441,0.9105,0.6676,0.423,0.969,0.6389,0.02,0.8566,0.0467,0.0335,0.0139,0.0493,0.6931,0.0013
0.0202,0.2467,22.4719,5.8862,16.8501,0.2743,0.4058,0.1853,6.703,0.5463,0.5219,0.02,0.8228,0.0814,0.0262,0.0363,0.0333,0.7224,0.9265
0.2095,0.3142,32.2201,10.4802,15.8319,1.162,0.7021,0.6849,9.807,0.1554,0.5915,0.02,0.8077,0.0949,0.0424,0.0129,0.042,0.9914,0.4058
0.0733,0.2066,50.5416,6.5168,11.6622,0.4375,0.6437,0.3632,7.3757,0.5681,0.7695,0.02,0.8887,0.0233,0.0091,0.003,0.0759,0.5646,0.5683
0.3365,0.0749,40.671,11.8353,6.1881,2.1751,0.6194,0.5478,3.0377,0.5698,0.0011,0.02,0.7836,0.0487,0.0527,0.0695,0.0454,0.1987,0.5621
0.4498,0.4568,41.5156,4.5079,13.6368,0.6898,0.7765,0.4145,9.2571,0.6178,0.1281,0.02,0.7838,0.0593,0.0727,0.0834,8e-04,0.2425,0.8884
0.3334,0.1526,35.1106,10.976,9.2164,2.653,0.3739,0.0196,1.0582,0.7346,0.1227,0.02,0.9184,0.0129,0.0402,0.0059,0.0227,0.8326,0.2047
0.0046,0.416,28.9221,12.6695,17.4409,2.7629,0.9311,0.6309,7.456,0.4669,0.7497,0.02,0.8634,0.0458,0.0793,0.0015,0.0099,0.3753,0.8773
0.0608,0.4603,27.4398,3.786,4.151,1.3581,0.3716,0.2876,7.4031,0.1257,0.2755,0.02,0.7947,0.0697,0.0694,0.0285,0.0378,0.4909,0.8529
0.4881,0.4887,50.9965,16.999,7.8492,2.0262,0.367,0.3966,3.4574,0.2501,0.4495,0.02,0.7751,0.0228,0.0414,0.0763,0.0844,0.1893,0.7653
0.4594,0.3937,19.7072,9.5814,7.8754,0.6946,0.6018,0.4576,6.8079,0.5044,0.2313,0.02,0.8622,5e-04,0.0897,0.0056,0.042,0.9428,0.6653
0.4276,0.3351,57.739,16.8093,4.9246,0.2611,0.1911,0.1779,9.0597,0.277,0.9507,0.02,0.8031,0.0912,0.0165,0.0268,0.0624,0.1594,0.14
0.488,0.2232,42.0041,15.3914,13.8845,1.2289,0.5655,0.8059,5.7041,0.0142,0.2902,0.02,0.8495,0.0196,0.0716,0.0244,0.0349,0.5282,0.1337
0.3307,0.4998,23.8192,5.5784,7.7965,2.8296,0.148,0.0085,7.9691,0.9901,0.5948,0.02,0.861,0.034,0.0283,0.0434,0.0332,0.8305,0.3246
0.3779,0.2602,36.8921,13.847,12.7894,2.3147,0.2473,0.0225,1.5123,0.6911,0.3514,0.02,0.7901,0.0587,0.0623,0.0143,0.0746,0.0045,0.2899
0.0671,0.438,50.2136,5.4323,8.0479,2.0591,0.7076,0.8275,4.4527,0.5887,0.8659,0.02,0.9257,0.005,0.0386,0.0123,0.0184,0.1064,0.0561
0.4109,0.0024,48.1842,13.7698,11.0668,2.148,0.8244,0.1361,0.4982,0.1809,0.4753,0.02,0.8222,0.038,0.0193,0.0421,0.0784,0.0179,0.9529
0.4117,0.2756,24.7101,12.1247,3.744,1.3098,0.0383,0.8662,8.3664,0.9707,0.2418,0.02,0.8545,0.003,0.0125,0.0936,0.0364,0.1078,0.2518
0.0836,0.1978,36.7218,3.0697,9.1103,2.5892,0.7207,0.7053,7.613,0.7885,0.6991,0.02,0.7633,0.0365,0.0599,0.0555,0.0848,0.1257,0.304
0.0504,0.3279,57.9903,2.9065,4.216,1.3075,0.5597,0.9587,5.2052,0.7564,0.3342,0.02,0.856,0.0213,0.0174,0.0819,0.0234,0.7513,3e-04
0.2251,0.004,60.2222,11.1072,9.5399,0.6038,0.968,0.7861,0.2157,0.3223,0.3964,0.02,0.8151,0.0847,0.0063,0.0179,0.076,0.7173,0.8029
0.464,0.1203,37.1781,11.5979,6.3193,2.6393,0.3239,0.0759,5.8674,0.2612,0.1628,0.02,0.8001,0.0721,0.0608,0.043,0.0241,0.0751,0.8008
0.4421,0.1209,52.3726,12.654,11.3472,1.048,0.2441,0.8522,1.0254,0.9467,0.4212,0.02,0.8379,0.0606,0.0359,0.0471,0.0184,0.1915,0.4869
0.0212,0.2385,48.9881,2.3947,8.3461,1.476,0.3906,0.8545,3.6029,0.6857,0.6346,0.02,0.8077,0.0604,0.0321,0.0579,0.0419,0.0444,0.1183
0.4379,0.2973,40.0746,5.3436,6.9558,1.4521,0.9221,0.4937,9.5186,0.9209,0.3017,0.02,0.8912,0.0024,0.0178,0.0108,0.0777,0.2429,0.49
0.2556,0.4448,56.88,12.7773,3.3454,0.5785,0.0197,0.4675,8.8192,0.3804,0.4973,0.02,0.7575,0.0486,0.0753,0.0882,0.0304,0.8428,0.3903
0.2787,0.021,32.6706,16.1864,8.5895,1.9286,0.8816,0.2649,8.8244,0.5274,0.8883,0.02,0.8133,0.0292,0.083,0.048,0.0264,0.338,0.2303
0.0901,0.2379,58.6336,8.1362,17.5039,0.2698,0.7628,0.8036,9.3645,0.3138,0.8811,0.02,0.8697,0.0532,0.0618,0.0068,0.0085,0.2169,0.4478
0.2295,0.2372,28.3507,10.4887,15.3752,2.1707,0.0777,0.9375,5.0187,0.2922,0.1072,0.02,0.8294,0.0015,0.0762,0.0345,0.0584,0.7594,0.2269
0.1077,0.2668,48.8381,10.339,17.0453,2.2233,0.0615,0.0368,2.8853,0.4686,0.742,0.02,0.8379,0.0914,0.0125,0.0228,0.0355,0.1559,0.5066
0.0589,0.1107,22.935,2.7974,5.3199,0.5156,0.6658,0.976,8.2793,0.1602,0.0825,0.02,0.8261,0.0456,0.0253,0.0175,0.0856,0.6933,0.0538
0.1137,0.4611,19.9509,8.2893,6.566,1.1337,0.7037,0.9166,2.8436,0.4654,0.2459,0.02,0.7572,0.0353,0.0635,0.0616,0.0824,0.6571,0.184
0.3799,0.0786,29.9919,9.4137,8.2327,1.2633,0.3967,0.0993,9.5069,0.005,0.7145,0.02,0.8348,0.0709,0.0362,0.0139,0.0442,0.2898,0.7002
0.1388,0.1545,25.7605,10.9081,14.2003,2.1228,0.2354,0.3901,4.4711,0.7074,0.0685,0.02,0.8108,0.048,0.0481,0.0015,0.0916,0.5979,0.207
0.0047,0.2435,42.3684,14.7471,7.418,0.7615,0.868,0.862,3.6199,0.3788,0.9513,0.02,0.8215,0.0567,0.005,0.0538,0.0631,0.8902,0.6843
0.18,0.4096,60.0246,17.5481,3.5744,0.713,0.7044,0.3231,1.1216,0.1562,0.1644,0.02,0.8803,0.0179,0.067,0.0162,0.0187,0.1246,0.3894
0.2719,0.4726,18.936,17.8868,4.9078,0.959,0.339,0.6709,9.0574,0.0236,0.5068,0.02,0.8192,0.084,0.0699,0.0065,0.0203,0.1419,0.1634
0.3685,0.1207,46.0589,15.8937,14.1268,2.7219,0.1346,0.5173,0.7601,0.3535,0.6839,0.02,0.7572,0.0817,0.0692,0.0704,0.0215,0.7353,0.5941
0.2075,0.3225,27.2215,2.8904,16.5134,1.9436,0.811,0.6114,6.8913,0.7595,0.6291,0.02,0.8095,0.0777,0.0969,0.0018,0.014,0.4714,0.1205
0.3126,0.1624,37.261,14.1243,2.8385,1.1022,0.2685,0.9399,2.161,0.0548,0.2348,0.02,0.8917,0.0035,0.0459,0.0257,0.0332,0.6978,0.1509
0.0013,0.2093,39.2241,7.2673,17.8858,0.6431,0.1836,0.4157,4.7932,0.1334,0.4536,0.02,0.7901,0.0621,0.0317,0.0268,0.0893,0.6318,0.4127
0.3091,0.087,55.507,17.1097,2.3486,0.9416,0.9895,0.9054,4.1545,0.272,0.501,0.02,0.7966,0.0852,0.0489,0.0467,0.0227,0.6923,0.3272
0.0836,0.4426,55.0671,4.4179,13.7476,0.2056,0.1071,0.3042,5.1685,0.6482,0.2776,0.02,0.796,0.0269,0.072,0.0564,0.0488,0.9085,0.3534
0.2718,0.3133,48.6124,3.7451,6.3812,1.1023,0.8327,0.1085,2.4316,0.8332,0.993,0.02,0.8135,0.086,0.0393,0.0062,0.0549,0.8001,0.9251
0.3544,0.0187,38.597,4.2436,16.9202,2.7738,0.2086,0.0483,7.0355,0.4681,0.7957,0.02,0.7366,0.0343,0.0793,0.0622,0.0877,0.755,0.8525
0.4261,0.4152,58.018,14.9622,13.027,0.9296,0.348,0.1054,7.3821,0.8246,0.4293,0.02,0.7773,0.0578,0.0748,0.0202,0.0698,0.4466,0.8987
0.3987,0.038,16.4445,7.4038,9.9004,0.2943,0.764,0.6868,6.4817,0.2425,0.4134,0.02,0.8544,0.0146,0.0164,0.0667,0.0479,0.3888,0.8311
0.2936,0.0578,17.5089,16.8845,5.1025,0.6037,0.9142,0.9947,4.7725,0.0174,0.6558,0.02,0.8086,0.0441,0.0649,0.0533,0.029,0.0727,0.8883
0.4431,0.0188,37.7707,11.5421,6.3942,2.6741,0.9373,0.8561,5.7175,0.996,0.409,0.02,0.7943,0.0735,0.0794,0.0219,0.0309,0.573,0.0702
0.1277,0.2344,24.7201,4.9394,4.42,2.8511,0.353,0.9929,7.0924,0.0788,0.3449,0.02,0.7888,0.017,0.0756,0.0758,0.0428,0.1962,0.749
0.1425,0.1957,32.3571,11.0292,4.0999,1.9468,0.0249,0.2057,8.8998,0.9704,0.9803,0.02,0.8089,0.0518,0.0577,0.0745,0.0071,0.8173,0.1354
0.4808,0.099,28.8466,2.6663,3.4286,1.3765,0.1488,0.0606,3.1673,0.8702,0.3221,0.02,0.9041,0.0434,0.0277,0.0016,0.0233,0.8158,0.4013
0.4533,0.3213,14.3024,11.1428,6.6247,2.97,0.7253,0.3133,2.039,0.4814,0.1023,0.02,0.9,0.0093,0.0517,0.0291,0.0098,0.4787,0.3756
0.275,0.3702,15.4779,7.6002,3.0585,1.8723,0.3452,0.5533,3.7582,0.5122,0.4623,0.02,0.8097,0.005,0.0273,0.0816,0.0764,0.8992,0.2277
0.4277,0.0473,46.0892,2.5986,2.1298,0.8084,0.7693,0.1803,0.2703,0.443,0.2525,0.02,0.7556,0.0624,0.07,0.0324,0.0797,0.6131,0.3315
0.1422,0.2445,43.5252,17.3009,5.7375,1.4187,0.8544,0.6682,5.2863,0.7063,0.2208,0.02,0.835,0.0343,0.0473,0.0023,0.0811,0.677,0.1308
0.4093,0.4808,22.4773,9.9599,2.1379,2.5414,0.7291,0.6785,8.8765,0.3592,0.3743,0.02,0.7626,0.0253,0.0756,0.0581,0.0785,0.3804,0.2265
0.4946,0.4436,20.5722,8.964,8.4545,2.1749,0.1864,0.1127,4.8713,0.0264,0.3767,0.02,0.7731,0.0633,0.0357,0.0678,0.06,0.2039,0.086
0.084,0.1539,21.2002,5.2689,8.3253,0.6397,0.8144,0.1353,2.0733,0.4267,0.2082,0.02,0.7847,0.0487,0.0664,0.038,0.0622,0.8285,0.5516
0.4645,0.2993,18.9459,4.2619,11.9678,1.3454,0.6243,0.931,4.1763,0.303,0.2988,0.02,0.8509,0.0094,0.0677,0.0534,0.0187,0.5107,0.6067
0.3396,0.077,51.7982,16.125,3.2665,2.6286,0.7612,0.0307,6.9094,0.055,0.8687,0.02,0.7958,0.0444,0.0341,0.0496,0.0762,0.0742,0.3169
0.4732,0.0572,14.4173,13.4799,17.4438,0.5254,0.8307,0.5666,4.211,0.0446,0.1124,0.02,0.9674,0.0065,0.0038,0.0026,0.0197,0.7995,0.5421
0.1207,0.4751,22.606,10.3513,5.3476,1.1061,0.7067,0.2831,0.8983,0.8791,0.0683,0.02,0.7731,0.057,0.0458,0.0615,0.0625,0.1961,0.0343
0.343,0.1328,43.3611,16.0716,4.4154,0.4667,0.5781,0.5326,9.1248,0.9761,0.3914,0.02,0.746,0.0822,0.0561,0.0837,0.0321,0.4585,0.343
0.319,0.4892,40.8428,3.2601,16.1556,1.2739,0.3555,0.5211,7.2108,0.111,0.5083,0.02,0.8183,0.0819,0.0377,0.0516,0.0106,0.7059,0.8487
0.0693,0.4044,14.9456,6.3836,8.3519,2.6486,0.0373,0.9059,2.1692,0.7791,0.9122,0.02,0.793,0.0783,0.0586,0.0651,0.005,0.0305,0.0898
0.3345,0.3845,52.8008,2.5438,12.0886,0.9236,0.6087,0.893,4.1087,0.2626,0.8455,0.02,0.7798,0.0799,0.0686,0.0646,0.0071,0.3558,0.2925
0.2919,0.1089,38.9218,12.7907,14.68,2.8223,0.253,0.4708,2.0057,0.9931,0.219,0.02,0.8328,0.0426,0.078,0.0213,0.0254,0.9175,0.4246
0.2976,0.3388,53.7469,13.2618,17.0105,1.3462,0.2342,0.0075,5.488,0.1905,0.2847,0.02,0.7977,0.0608,0.0597,0.0221,0.0596,0.6858,0.4715
0.4709,0.2803,54.5715,15.6284,9.8111,0.4804,0.37,0.9779,1.8484,0.9177,0.2872,0.02,0.8703,0.0153,0.0086,0.0249,0.081,0.0668,0.3776
0.2097,0.1687,21.3298,15.0922,17.135,0.8171,0.0342,0.9705,8.6186,0.3665,0.8209,0.02,0.8509,0.0481,0.0477,0.0333,0.0199,0.7984,0.4401
0.097,0.2163,25.194,17.0187,2.5606,0.2993,0.8184,0.2784,3.6591,0.5007,0.5347,0.02,0.8244,0.0725,0.0615,0.0116,0.03,0.211,0.7978
0.2624,0.2814,60.1473,4.6425,6.6134,1.1394,0.8168,0.7621,3.923,0.3624,0.8036,0.02,0.8219,0.0677,0.0803,0.0142,0.0159,0.3968,0.0629
0.242,0.2136,41.5796,14.6316,14.539,1.3754,0.23,0.0359,7.9494,0.705,0.5338,0.02,0.7883,0.0333,0.0816,0.0394,0.0573,0.7621,0.6573
0.0549,0.0285,23.2391,15.2088,12.0403,2.3373,0.2178,0.432,5.0928,0.8738,0.8068,0.02,0.7512,0.0751,0.0505,0.0481,0.075,0.6099,0.2173
0.3427,0.0718,52.9687,12.3304,15.1346,1.4099,0.7496,0.2183,9.4608,0.5754,0.6211,0.02,0.9091,0.0089,0.0065,0.0074,0.0681,0.1148,0.2833
0.3544,0.2391,26.6555,7.0869,16.6986,0.6615,0.5068,0.0689,5.3319,0.8889,0.7895,0.02,0.7612,0.0681,0.0617,0.0477,0.0612,0.4003,0.9245
0.1361,0.2529,31.2253,16.6135,11.9899,0.299,0.6965,0.3515,3.6018,0.2094,0.6523,0.02,0.8035,0.0747,0.014,0.0217,0.0861,0.1717,0.4351
0.3852,0.2374,24.201,7.2729,12.1774,1.7806,0.7892,0.879,7.2793,0.6894,0.7712,0.02,0.8979,0.0281,0.0085,0.0534,0.0122,0.7549,0.0829
0.3891,0.1481,58.5198,4.5027,16.1828,2.2545,0.8754,0.2373,9.06,0.2406,0.3756,0.02,0.7636,0.0749,0.0119,0.071,0.0786,0.7589,0.0563
0.1045,0.3319,55.9929,11.5715,2.4837,1.9753,0.9187,0.5377,3.2454,0.2483,0.4781,0.02,0.8517,0.0756,0.0138,0.0159,0.0429,0.7219,0.8805
0.2391,0.1184,55.9525,15.9927,11.2503,0.1292,0.8514,0.6992,5.4224,0.6148,0.2299,0.02,0.8332,0.0212,0.0112,0.0444,0.09,0.8733,0.2712
0.2242,0.4815,31.047,11.1652,14.9039,1.8105,0.4481,0.3669,7.7256,0.262,0.6927,0.02,0.8583,0.0565,0.0653,0.0142,0.0057,0.0464,0.7517
0.025,0.3664,16.1491,3.8194,12.5409,1.4841,0.6889,0.2735,7.0576,0.8988,0.8184,0.02,0.763,0.0509,0.0784,0.0704,0.0373,0.7028,0.7902
0.0301,0.2071,22.4499,16.3568,11.7438,1.588,0.4945,0.2788,9.5795,0.3212,0.4049,0.02,0.803,0.0242,0.0133,0.0729,0.0866,0.6107,0.2256
0.0767,0.1953,28.8643,7.2946,5.3856,0.4851,0.0571,0.074,2.1337,0.5756,0.2888,0.02,0.7451,0.0791,0.0687,0.0395,0.0676,0.2331,0.0433
0.1913,0.007,27.1344,12.609,14.6431,1.374,0.2417,0.5854,3.0867,0.1856,0.1734,0.02,0.8091,0.0589,0.0444,0.0664,0.0213,0.5847,0.5557
0.282,0.2624,58.7295,15.9196,12.5795,2.3611,0.3855,0.0831,1.2013,0.3275,0.301,0.02,0.7699,0.0752,0.0665,0.0759,0.0125,0.38,0.6247
0.0213,0.3669,42.7005,15.68,2.8422,2.0022,0.3574,0.1452,7.2114,0.0248,0.9065,0.02,0.756,0.0543,0.0765,0.0475,0.0657,0.7184,0.0118
0.4176,0.1784,41.8887,13.2291,5.0612,2.2086,0.3029,0.1676,7.6645,0.7728,0.973,0.02,0.8283,0.0195,0.0352,0.0721,0.0449,0.8655,0.7078
0.116,0.1083,48.3049,14.6342,17.7123,1.695,0.841,0.8199,7.4437,0.0174,0.556,0.02,0.8439,0.0398,0.0874,0.0057,0.0232,0.588,0.9394
0.2018,0.4934,36.8186,14.6438,12.6916,1.765,0.0613,0.617,8.5607,0.3738,0.9097,0.02,0.8416,0.0344,0.0451,0.018,0.061,0.2164,0.5679
0.1573,0.2834,35.0844,16.09,15.5778,1.6655,0.0326,0.7878,4.0156,0.5558,0.4385,0.02,0.8871,0.0285,0.0151,0.0065,0.0628,0.1902,0.8588
0.1186,0.1404,44.0302,4.2097,6.4018,2.336,0.6177,0.9828,9.9717,0.858,0.9729,0.02,0.8027,0.076,0.0428,0.039,0.0395,0.5671,0.7057
0.2447,0.1226,45.2386,13.8103,14.0287,2.4329,0.6339,0.8782,5.9826,0.3263,0.7166,0.02,0.7913,0.0816,0.0367,0.0672,0.0233,0.1017,0.4349
0.3936,0.4358,15.5472,15.3241,12.8539,1.625,0.8784,0.9898,0.5244,0.8274,0.3444,0.02,0.7894,0.044,0.0303,0.0692,0.0671,0.1619,0.718
0.0727,0.2712,56.4015,3.8657,7.0723,2.8852,0.0293,0.9844,0.8766,0.5732,0.4882,0.02,0.8774,0.0505,0.0177,0.0245,0.0298,0.8306,0.9157
0.2639,0.2346,31.9409,6.4643,9.5853,2.1001,0.3015,0.1729,0.1515,0.8833,0.2953,0.02,0.8607,0.0374,0.0016,0.09,0.0103,0.5482,0.8336
0.4745,0.1433,53.2422,3.7051,4.0641,1.7705,0.7628,0.8471,3.6105,0.1243,0.5414,0.02,0.8033,0.052,0.0452,0.0507,0.0487,0.2951,0.3304
0.2062,0.1331,60.4711,7.5764,12.9926,1.6913,0.6462,0.1669,0.4522,0.6313,0.4734,0.02,0.8818,0.0062,0.0328,0.0049,0.0742,0.5792,0.8929
0.1603,0.2099,28.7732,13.1517,15.4672,0.5097,0.6828,0.1456,4.0992,0.4736,0.2828,0.02,0.9226,0.0196,0.0439,0.0059,0.0081,0.6486,0.746
0.2935,0.2405,25.2907,10.9092,4.7127,1.4465,0.2978,0.8581,6.306,0.2566,0.181,0.02,0.8339,0.0762,0.0112,0.0554,0.0233,0.2233,0.3141
0.3667,0.4224,35.6471,5.7547,14.7167,1.4646,0.9365,0.8672,8.1047,0.5897,0.5479,0.02,0.7949,0.02,0.0498,0.0566,0.0786,0.8181,0.8356
0.291,0.0371,34.7968,7.2508,15.4795,1.7736,0.105,0.165,2.1262,0.973,0.908,0.02,0.7943,0.0635,0.0408,0.0628,0.0386,0.9144,0.1621
0.4273,0.1818,38.876,6.3718,11.7392,1.1866,0.7974,0.781,0.9263,0.6931,0.6591,0.02,0.8934,0.0106,0.0661,0.0094,0.0204,0.3576,0.9167
0.0368,0.1832,35.3013,7.9131,9.9155,1.6687,0.0674,0.9027,2.4661,0.563,0.7888,0.02,0.7503,0.0675,0.0774,0.0425,0.0623,0.058,0.9099
0.1679,0.2742,16.765,8.2462,15.9581,1.9812,0.7751,0.5408,9.4705,0.1455,0.7715,0.02,0.8315,1e-04,0.0853,0.07,0.0132,0.7447,0.9987
0.1957,0.0996,47.6337,16.046,11.8045,1.7519,0.0987,0.2282,2.2183,0.4801,0.1239,0.02,0.8587,0.0081,0.0277,0.0333,0.0723,0.0841,0.5194
0.1408,0.0181,33.1474,2.2666,9.1494,0.996,0.5537,0.424,9.8995,0.7396,0.7965,0.02,0.8881,0.0749,0.0286,0.0043,0.0041,0.7445,0.9921
0.3231,0.2047,35.1765,9.6171,9.5959,1.7917,0.2592,0.2506,4.3764,0.8743,0.8694,0.02,0.8314,0.0812,0.017,0.0419,0.0284,0.7583,0.3698
0.2592,0.08,22.9152,5.9255,14.5153,2.1162,0.4151,0.416,8.9448,0.4035,0.9096,0.02,0.7813,0.0839,0.0407,0.065,0.0291,0.3227,0.416
0.3219,0.2557,24.3502,4.1229,6.2629,1.3135,0.9443,0.0795,3.483,0.3847,0.1725,0.02,0.7849,0.0335,0.0901,0.0133,0.0781,0.1211,0.7347
0.4191,0.0587,25.4887,8.0197,7.9669,2.2691,0.0394,0.814,2.2422,0.1579,0.6258,0.02,0.7555,0.0855,0.0763,0.043,0.0398,0.5287,0.2655
0.2248,0.4714,34.9038,16.9777,13.8653,1.4654,0.5438,0.1939,6.7817,0.1144,0.2881,0.02,0.7901,0.0585,0.0337,0.0823,0.0354,0.4318,0.7081
0.3297,0.3123,45.8206,10.4456,4.3729,0.4063,0.5809,0.8571,7.168,0.1184,0.9738,0.02,0.8204,0.0097,0.0329,0.0626,0.0744,0.8197,0.5005
0.1114,0.102,59.1805,6.3303,6.1028,2.5087,0.5027,0.0426,9.3682,0.4864,0.3204,0.02,0.8326,0.0368,0.0547,0.0668,0.009,0.5539,0.6386
0.274,0.2384,43.8001,8.5341,10.0402,1.9474,0.3202,0.3529,5.9125,0.0684,0.313,0.02,0.77,0.0599,0.0597,0.0455,0.065,0.3636,0.3854
0.0375,0.3716,32.6128,17.3818,15.3785,0.3465,0.2729,0.3143,4.5823,0.5366,0.2323,0.02,0.7174,0.0591,0.0625,0.0841,0.077,0.0274,0.5515
0.0825,0.3083,51.6167,12.7488,17.1995,2.6548,0.9877,0.0296,9.2754,0.8139,0.6622,0.02,0.7506,0.0877,0.0179,0.0793,0.0646,0.6519,0.1444
0.4931,0.1914,32.3844,6.2735,2.9229,1.1018,0.016,0.4778,6.7141,0.0419,0.9263,0.02,0.8851,0.0133,0.0054,0.0954,8e-04,0.7284,0.3019
0.1971,0.159,23.4698,2.1725,8.9503,2.08,0.7127,0.6851,9.8219,0.3712,0.7322,0.02,0.8804,0.0321,0.0283,0.0184,0.0408,0.5184,0.7933
0.3053,0.4446,29.4247,17.8927,8.4304,0.5366,0.3261,0.7723,1.2484,0.8813,0.7234,0.02,0.7751,0.083,0.0546,0.0111,0.0763,0.8938,0.0522
0.0822,0.3439,38.4302,11.9614,12.0268,2.2418,0.2974,0.2842,6.3873,0.6595,0.8119,0.02,0.7809,0.0107,0.067,0.0679,0.0735,0.4851,0.7608
0.3355,0.3607,26.3951,17.9807,8.3107,2.1769,0.8618,0.219,3.326,0.5515,0.7723,0.02,0.8108,0.0617,0.0681,0.0202,0.0393,0.7611,0.4293
0.3167,0.0983,50.2593,2.1788,2.6906,0.6942,0.7729,0.7092,6.4033,0.6555,0.9479,0.02,0.8216,0.0035,0.0596,0.0664,0.0489,0.7438,0.716
0.4482,0.3603,45.1749,9.0336,6.4214,2.6391,0.5299,0.9319,7.0434,0.1558,0.3973,0.02,0.7526,0.0651,0.0454,0.0733,0.0637,0.8192,0.4418
0.4295,0.3792,58.7059,16.1828,3.8835,2.6334,0.0104,0.0225,9.5233,0.746,0.9245,0.02,0.803,0.0026,0.0738,0.0487,0.072,0.5669,0.895
0.442,0.2997,34.206,9.7088,7.6071,2.3163,0.0224,0.9866,3.9137,0.7913,0.7197,0.02,0.8358,0.0102,0.0455,0.0767,0.0318,0.5975,0.6938
0.0954,0.1327,48.1214,16.0576,8.5935,1.1139,0.4946,0.8315,0.2535,0.1234,0.2595,0.02,0.8458,0.0359,0.0046,0.0331,0.0806,0.9886,0.0483
0.2687,0.2381,37.2934,15.8524,5.9759,1.0304,0.2107,0.6296,3.2998,0.112,0.255,0.02,0.7569,0.0791,0.0279,0.0634,0.0727,0.5155,0.3787
0.4161,0.2789,18.912,8.0167,10.3471,2.1354,0.4519,0.914,5.6045,0.6439,0.7962,0.02,0.9157,0.0287,0.0269,0.0019,0.0268,0.7679,0.3841
0.1625,0.3249,51.3482,11.6261,9.9313,0.9492,0.5904,0.464,4.8549,0.8929,0.6988,0.02,0.7598,0.0437,0.0597,0.0595,0.0774,0.1536,0.1282
0.0254,0.0321,37.6644,12.9594,13.7611,0.8254,0.8461,0.675,5.4666,0.4032,0.1473,0.02,0.8182,0.0318,0.0423,0.0784,0.0294,0.8368,0.4671
0.0852,0.1582,42.6736,7.5842,13.0547,2.3897,0.7534,0.6291,1.3505,0.3434,0.9958,0.02,0.788,0.0533,0.0426,0.04,0.0762,0.9409,0.2165
0.1522,0.4055,18.61,17.4687,6.2474,1.7263,0.296,0.9154,4.081,0.8488,0.4872,0.02,0.83,0.0044,0.0445,0.0479,0.0731,0.6309,0.113
0.2653,0.3444,47.7249,8.382,10.3522,0.4245,0.297,0.9944,5.4119,0.167,0.0023,0.02,0.8207,0.0417,0.065,0.0661,0.0065,0.0883,0.8896
0.4998,0.305,28.8384,4.4967,4.3669,2.8605,0.885,0.4197,1.307,0.464,0.4831,0.02,0.7741,0.082,0.0207,0.0802,0.043,0.5823,0.9905
